,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
2042,2,1,68,53952.59,3,1,11.02404,7,1,0,0,2,1,0,1,0,1,1,1,1,0,1,1,0,2,11.71454,277.6513,1757.837077,4,4,3,4,5,3,2,3,Yes
1193,1,6,75,45869.12,2,1,10.58093125,8,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,2.5238884,194.988208,779.392646,4,5,3,5,3,5,5,5,Yes
4462,0,7,62,37029.52,0,0,13.04395,8,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,3,1.871066,215.1591,1360.486206,4,4,5,2,3,4,4,3,Yes
4927,1,1,33,22611.29,1,0,7.681675,12,0,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,2,3.179833,290.1604,1130.542862,3,4,4,3,3,5,2,4,Yes
838,1,2,24,34292.78,0,0,16.16759956,9,2,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,0,9.073819276,139.979239,1214.758985,2,4,2,3,2,4,2,3,No
4142,0,0,61,28963.75,3,1,11.7278,7,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,24.94225,137.4392,2246.098296,3,2,3,2,4,2,2,1,No
2985,1,0,79,45633.91,2,1,7.412049,18,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,17.25514,137.4836,1967.228079,3,4,2,3,4,3,3,4,No
3760,0,3,81,2842.7,1,1,9.6523,14,1,0,0,2,0,0,2,1,0,0,0,1,1,1,1,1,2,3.811111,200.1652,892.372841,4,3,4,3,3,3,5,3,Yes
4763,2,0,55,37680.14,2,0,8.306336,14,2,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,3,10.89731,184.9715,1219.381518,5,4,5,4,3,4,3,5,Yes
5140,1,0,40,31429.51,2,1,9.708299,12,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,61.35427,262.6106,5725.876807,1,2,1,3,3,3,2,2,No
5643,0,0,78,72121.31,0,1,7.291041,8,3,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,2,67.93291,252.6378,6131.484263,4,5,4,4,4,5,6,5,No
9961,1,0,29,17845.3,0,0,9.654315,11,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,2,54.75767,147.4738,4730.295335,3,3,2,3,6,2,2,3,No
6472,0,3,61,15422.66,3,1,9.400629,14,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,2,67.73639,222.6326,6667.024092,4,4,5,4,3,4,4,4,No
4757,0,4,77,20637.36,0,1,8.711448,17,2,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,5.192447,217.4702,943.0894026,3,3,2,4,4,4,4,3,Yes
5514,1,4,28,67999.24,1,0,8.564499,10,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,1,2,67.19559,127.525,5929.012302,4,1,3,3,4,2,2,2,No
6858,2,2,49,53025.02,1,0,7.721097,14,1,0,1,2,1,0,2,0,0,0,1,1,0,1,1,1,1,59.42848,210.1518,5566.284588,2,2,2,4,4,4,4,2,No
5045,2,1,67,33403.38,3,1,8.715071,13,1,2,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2,69.26833,207.6094,6150.658199,4,3,5,2,5,2,2,4,No
219,2,1,59,11301.4,0,0,9.84688181,11,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,4.95598008,199.990219,1342.862457,4,5,4,4,3,4,3,4,No
6754,0,3,64,17204.03,3,0,12.67534,15,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,68.60299,117.4392,6272.523927,3,3,3,4,3,4,4,5,No
7248,1,7,20,47274.12,2,0,9.980253,10,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,53.9154,139.9512,5304.643513,3,3,4,4,4,2,3,4,No
7803,1,1,18,12435.87,1,0,12.64401,11,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,2,64.38615,127.4421,5980.119936,4,5,4,3,4,3,2,3,No
6779,0,1,32,5440.68,0,1,6.09105,14,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,2,44.94292,175.0062,4594.301628,5,4,4,4,4,5,4,5,No
3071,0,0,43,32017.56,4,0,14.66079,10,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,4.454344,162.4538,1069.09373,4,4,4,3,3,2,3,4,No
9462,1,4,36,97997.05,0,1,9.3203,19,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3,56.77789,112.4551,4899.165964,5,4,3,4,2,4,5,4,No
2651,2,3,54,44711.74,4,0,11.79632,13,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,6.307859,107.4806,862.6906733,4,4,4,3,5,4,3,6,Yes
5875,1,2,31,58304.48,2,0,5.7796,18,2,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,3,50.77685,129.9915,4947.825183,3,4,4,3,4,3,3,2,No
8026,2,7,82,28028.85,3,1,6.593316,14,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,54.51932,179.9476,4887.271461,4,5,3,4,2,4,4,4,No
7169,0,0,84,15550.06,0,0,10.35914,11,2,1,0,1,0,0,2,1,0,0,1,1,0,1,0,1,2,63.20516,139.9816,5437.952701,4,4,4,3,3,5,2,4,No
8804,1,1,45,20114.83,1,1,11.22071,12,2,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,58.52385,192.4404,5246.886102,3,4,3,4,5,4,4,3,No
6286,1,1,74,29877.9,4,1,5.108637,12,3,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,2,69.83346,174.9755,6166.889012,3,3,3,3,4,2,2,4,No
9162,1,1,56,13031.07,4,0,14.67012,15,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,2,56.37162,174.9755,5075.816829,3,2,3,4,5,3,3,4,No
8161,0,1,74,14396.37,0,1,10.78419,18,2,0,0,2,1,0,2,1,1,0,0,0,1,1,0,0,2,65.2908,149.9776,5616.608151,3,5,3,4,3,3,3,3,No
974,0,1,43,22303.29,0,0,9.565152901,13,2,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,3,1.591333405,240.114868,708.9358044,4,4,3,3,5,3,3,3,Yes
8123,1,4,26,50930.19,1,0,6.947436,10,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,64.07652,230.1051,5998.967483,3,4,4,3,6,4,3,4,No
6648,0,0,52,22602.97,2,0,8.861872,14,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,60.29534,220.1323,5471.917998,5,3,4,4,3,5,4,5,No
7262,2,3,62,27168.77,1,0,8.03185,17,0,0,0,2,0,1,1,1,1,0,1,0,0,1,0,0,1,70.6573,192.4404,6199.853857,5,4,5,3,3,4,4,4,No
6960,2,4,50,58263.78,2,0,13.87646,15,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,39.1518,137.4686,3495.928662,5,6,5,3,5,3,4,2,No
381,0,1,46,23629.05,1,0,15.68552752,10,1,2,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,11.16847385,159.947583,1599.727567,3,3,4,4,3,2,3,5,Yes
296,0,0,24,75458.79,3,0,9.531063533,10,1,0,0,2,1,0,1,1,1,1,0,0,0,0,0,1,2,14.86764776,147.478341,1446.203986,5,5,5,2,3,3,4,5,No
1959,0,1,41,84185.38,4,0,6.771136717,9,2,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,10.99607752,159.951231,1120.873005,5,4,5,4,4,4,4,4,No
9102,0,4,35,25648.63,1,0,11.36686,14,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,60.30709,134.9509,5203.323815,4,4,3,5,1,5,4,3,No
4726,1,0,35,64075.52,3,0,10.21228,8,0,2,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,12.2982,197.4945,1484.886328,4,4,4,4,2,4,2,3,No
1820,0,1,48,82629.53,2,0,9.816712399,12,0,2,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,12.92578188,169.974105,1333.179191,1,3,2,5,3,2,4,3,No
6861,2,3,64,34467.27,3,1,12.55217,16,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,38.65509,147.4421,3451.316704,4,4,4,2,3,4,2,4,No
1652,0,2,20,30088.13,1,1,11.71398312,11,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,2,4.509329959,192.440432,933.8036457,5,4,3,3,2,5,4,6,Yes
1876,0,1,81,9582.53,0,1,12.34162424,10,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,2.153167182,275.119794,775.7502457,3,3,2,4,4,3,3,3,Yes
7825,0,3,73,19839.22,0,0,8.779628,10,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,71.4622,172.5104,6104.609294,4,4,5,3,4,2,3,3,No
3772,1,2,50,9467.94,4,1,7.494062,13,2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,6.864699,162.4653,1422.2449,4,4,4,4,3,4,5,5,No
3770,1,1,27,31192.93,3,1,9.422323,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,10.81182,290.1604,1822.617538,5,5,5,2,3,4,5,4,Yes
8145,1,0,27,43778.76,0,0,7.779153,7,0,1,0,2,1,0,1,1,0,0,0,1,1,1,0,1,2,54.55457,162.4713,4826.3573,3,2,3,4,4,3,3,3,No
1371,1,3,81,18913.5,2,0,6.998489346,14,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,15.26657624,204.979684,1558.309095,4,2,2,4,3,4,4,2,No
8177,0,0,27,29935.05,1,1,9.663191,7,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,59.52332,92.45514,5443.98404,2,3,2,2,4,4,4,2,No
5902,2,2,45,21089.21,4,1,8.777909,5,1,2,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,40.12358,202.65,4439.358981,2,3,3,3,3,4,3,4,No
7281,1,3,55,23381.3,4,1,10.92399,13,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,57.07901,127.4958,4991.10888,2,2,3,3,3,4,3,4,No
5246,2,0,32,49730.51,1,1,8.49151,13,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,54.91169,235.1372,5655.227579,3,4,2,4,3,3,4,3,No
4597,0,3,20,27558.14,2,0,9.700117,10,1,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,2,2.507107,144.9607,463.6732561,3,2,3,4,4,2,2,2,No
6476,2,3,39,41795.89,2,0,9.174785,15,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,60.4218,182.447,5332.826382,2,2,1,4,1,3,2,3,No
1021,0,1,70,28797.05,4,1,8.830393232,16,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,18.39607984,124.960655,2035.86052,5,4,4,6,3,4,4,4,Yes
2028,0,1,45,74948.35,3,1,10.95793,11,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,11.38469,275.1336,1731.015044,4,5,3,3,4,2,4,4,Yes
3149,0,1,21,64204.39,2,0,12.63743,6,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,3,6.281821,172.4555,965.039948,3,3,3,3,4,4,4,4,No
2717,0,1,43,52633.73,0,0,12.48083,14,0,0,0,2,1,0,2,1,1,0,1,0,1,1,0,1,3,9.499599,172.4733,1193.771492,3,3,3,5,3,5,4,4,No
3870,0,2,79,36227.83,2,0,7.029407,13,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,4.180338,124.9607,790.0442858,3,2,3,4,4,4,3,2,Yes
8337,1,1,18,30686.01,3,1,7.070032,14,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,66.02069,124.9607,6108.607607,3,2,3,4,3,2,4,4,No
3730,1,0,24,13813.36,4,0,11.5956,14,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,3,5.645298,174.9744,1268.042248,2,2,2,3,4,2,3,3,Yes
7929,2,1,72,17974.85,4,0,8.951771,14,2,0,0,2,1,1,0,1,0,1,0,0,0,0,1,1,3,48.36469,129.9598,4565.513222,4,4,4,3,4,4,3,4,No
5765,0,2,65,78464.32,4,1,7.9119,7,1,1,1,0,1,0,2,1,0,0,0,0,0,1,1,0,2,52.29353,175.1331,4797.122065,3,3,3,2,6,2,4,2,Yes
2858,0,7,45,56067.63,4,1,10.12377,12,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,14.40435,137.4836,2060.606368,4,3,3,4,3,5,4,2,Yes
581,2,2,50,30944.95,0,0,11.62322378,14,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,7.21126107,179.947583,879.6579171,3,3,3,3,4,3,4,4,Yes
7543,0,0,69,2353.03,0,0,9.951397,10,0,2,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,66.9099,169.9447,5683.50493,5,5,5,3,3,4,5,4,No
3003,2,3,46,48267.33,4,0,6.566714,13,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,5.944147,164.9853,1429.709066,3,4,5,5,2,4,4,2,Yes
8585,0,0,49,18852.52,0,1,11.36428,9,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,48.73343,174.9744,4798.910859,3,3,4,3,3,3,3,2,No
133,1,3,41,87354.99,0,1,5.290318715,10,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,3,9.743201772,252.637807,1577.208717,5,5,3,4,4,4,4,5,Yes
2104,1,0,57,13929.56,3,0,15.04815,14,1,0,0,2,1,0,1,0,1,0,0,0,0,1,1,1,2,13.0511,240.1149,1571.238893,3,3,4,4,1,3,3,4,Yes
3663,1,1,84,30433.22,1,1,7.860547,13,3,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,2,9.321719,162.4833,1419.94259,5,5,5,3,2,5,5,4,Yes
1612,2,2,49,65891.79,0,1,5.259228749,10,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,4.753020774,245.128318,1608.852045,4,4,3,4,3,4,4,3,Yes
6844,1,3,34,41429.32,4,0,11.98321,11,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,65.20587,149.9598,5718.105902,3,3,2,4,4,3,1,1,No
1265,2,1,26,27692.11,2,0,10.39540448,10,3,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,2.728247011,147.442069,488.2811705,3,3,4,3,3,3,5,3,Yes
1539,2,1,45,27294.82,3,0,8.111219363,14,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,2,5.156329151,112.455141,465.2586783,3,4,3,5,2,3,5,3,No
8918,2,2,24,67649.91,1,0,8.818908,15,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,51.80774,114.9728,4462.614161,4,4,4,5,2,4,5,3,No
9357,1,0,67,15029.89,1,0,7.889915,8,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,2,58.54629,124.9607,5222.447526,4,4,4,3,1,4,4,2,No
9088,0,7,21,79611.89,1,1,12.68993,11,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,3,71.18005,184.9797,6955.375666,4,4,5,3,1,6,5,5,No
3178,2,3,48,31777.28,3,0,5.042263,13,0,0,0,2,1,1,0,1,1,0,1,1,0,0,1,1,2,16.31066,194.9663,2255.21511,3,5,3,3,5,3,4,4,No
8526,2,1,20,112839.8,2,1,14.05877,13,3,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,2,68.79248,182.447,6101.712749,4,3,4,3,4,4,3,4,No
4033,0,2,48,39855.47,4,1,9.217675,10,2,0,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,3.983529,169.9447,704.9286558,2,2,2,2,4,3,3,1,No
3187,1,0,19,32559.23,2,1,5.317716,15,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,2,3.949032,172.4885,1171.985659,4,4,4,3,4,4,4,4,No
3557,2,0,35,84147.24,4,0,10.91458,8,3,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,3,16.26349,127.4958,1537.706248,3,3,3,3,5,3,3,2,No
1801,0,3,79,37198.61,0,1,8.294166484,12,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,2,7.775144828,242.610632,1713.700682,3,3,4,3,5,2,3,2,Yes
599,1,4,66,15253.93,1,0,8.941096681,14,2,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,17.28022598,204.963371,1929.06738,3,4,4,3,4,3,4,4,No
6706,1,4,72,24402.91,2,0,8.968177,14,3,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,2,57.86914,117.4872,5291.226692,3,4,3,3,4,3,2,4,No
6002,0,2,47,52288.11,0,1,2.205335,8,2,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,63.92945,172.4579,5727.232268,2,2,3,3,4,2,2,2,No
603,1,0,73,55081.63,1,0,8.442478548,12,1,0,0,2,1,0,1,1,0,1,0,1,0,1,0,0,3,16.18199957,152.479779,1602.254193,3,4,5,1,5,3,3,4,No
6529,1,4,42,6790.51,0,1,11.00941,16,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,2,60.53871,127.482,5267.174112,5,5,4,3,4,3,4,5,No
860,2,3,61,32389.5,2,0,10.67064745,14,2,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,3,5.028564472,149.959755,698.7845202,4,4,4,4,3,5,4,2,No
6636,0,5,71,103499.7,4,0,7.499547,10,1,0,0,2,0,0,1,1,0,1,0,1,0,1,1,1,0,36.24048,222.65,3667.746982,2,2,2,2,4,2,2,3,No
9273,1,0,57,50946.72,2,0,8.780929,14,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,52.95001,247.6647,5418.636172,3,4,4,4,4,3,4,4,Yes
300,1,5,77,76874.25,4,2,10.62019312,10,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,3,4.439685675,214.952509,750.8768234,2,3,3,3,3,4,3,2,No
2977,0,1,57,119667.4,2,0,9.165034,6,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,2,11.17999,172.4742,1168.630192,4,3,3,3,5,3,4,4,No
4306,1,0,77,33654.79,4,1,7.337524,13,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,7.633263,152.4555,1357.166073,2,2,2,1,4,2,3,3,Yes
5703,2,1,63,44689.55,4,1,11.77649,17,1,0,1,0,1,0,2,1,0,1,1,1,0,0,1,0,3,66.54232,152.5022,5932.384715,5,5,5,2,4,5,3,5,No
265,0,1,52,15934.12,2,0,4.255224068,12,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,3,23.79323993,275.133571,2677.74041,4,4,5,3,3,4,3,4,Yes
4364,1,3,25,48360.48,0,1,9.823607,14,0,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,2,7.848542,265.147,1478.745798,2,3,3,4,4,2,3,2,Yes
1215,1,3,36,35105.32,4,1,13.27478996,11,1,2,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,7.60247544,162.468917,1078.260358,3,3,3,3,3,2,3,3,No
9743,2,2,32,11593.19,4,1,8.47466,14,3,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,1,44.01106,114.9658,3964.304244,4,4,4,2,5,4,3,4,No
6330,0,1,21,31033.83,2,1,11.07606,3,3,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,57.29968,167.4564,5064.686588,4,3,3,4,3,3,3,2,No
182,2,7,23,46871.21,0,1,8.941553742,10,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,3,17.24924155,139.983006,2392.203409,5,4,5,5,1,6,5,5,No
7594,2,3,59,35848.61,4,1,12.8388,12,2,2,0,0,1,0,1,1,0,0,0,0,0,1,1,0,3,63.52797,207.6094,5768.104658,3,3,3,3,3,4,5,1,No
8116,1,1,69,84009.73,1,0,8.520277,10,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,3,63.71108,242.6326,5788.852546,3,3,2,3,3,3,3,2,No
8734,2,2,34,38594.57,4,1,11.81333,15,1,1,0,0,1,1,2,1,0,1,1,0,1,0,1,1,3,59.53457,152.4884,5403.227013,3,5,6,4,3,4,4,4,No
7352,0,3,68,16657.89,0,0,10.36617,13,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,66.86351,162.5007,5766.235014,4,4,3,4,2,4,2,2,No
7073,2,3,83,68691.4,3,1,10.07105,18,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,3,51.73474,104.9629,4461.641644,4,5,3,4,2,3,4,5,No
1700,0,1,62,10852.14,3,0,6.236748796,11,3,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,14.28406007,172.470522,1887.699697,3,4,4,4,3,3,3,4,No
175,1,3,66,24702.68,0,0,11.2369761,11,3,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,12.64742067,162.471255,1357.062854,4,4,3,4,4,4,5,4,Yes
3966,1,3,87,28665.69,1,0,8.174687,14,2,2,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,10.88054,235.1591,1480.104233,4,5,3,3,3,3,4,4,Yes
1885,2,3,62,49939.39,1,0,6.398169663,14,2,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,3.032321354,207.49737,693.358004,4,5,5,2,5,3,4,4,Yes
3143,0,3,22,46677.89,1,1,5.107328,14,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,2.408011,139.965,1117.651858,2,3,4,5,3,2,3,3,Yes
9518,2,4,84,45301.1,1,1,8.898125,13,1,1,1,0,1,0,2,1,1,0,1,1,0,0,1,0,2,67.10378,182.49,5998.639237,5,6,6,2,4,3,4,2,No
9445,0,0,20,47168.82,1,1,13.36237,14,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,1,2,70.63095,192.4705,6280.352244,4,3,3,4,4,3,4,4,No
7515,1,4,48,25948.52,2,1,12.03137,14,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,1,3,62.68348,117.5152,5598.052693,4,6,4,2,4,4,4,4,No
4041,2,0,55,84724.98,4,0,9.993042,10,1,0,0,1,0,1,2,0,1,0,1,1,1,1,0,1,2,14.9206,184.9963,1652.974278,4,5,3,5,2,5,3,5,No
746,2,1,43,106964.84,1,1,11.66266603,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4.303745101,104.97808,982.8832681,3,4,4,2,4,4,3,2,No
2341,1,0,71,24002.4,0,0,11.98918,17,0,1,1,0,1,0,2,1,1,0,0,0,1,1,0,0,3,9.584536,149.9776,984.1544122,3,2,3,3,4,3,3,3,Yes
176,1,1,58,87535.71,0,1,8.54892416,15,0,1,0,2,1,0,0,1,0,1,0,0,0,1,0,0,3,8.850426839,119.95684,1456.887443,3,2,3,3,4,2,3,3,No
842,2,4,70,14219.58,1,0,11.16404955,12,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,3,17.37839741,182.460772,1815.9129,3,3,3,3,5,3,4,2,Yes
9777,0,1,61,60493.62,3,0,14.03424,13,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,3,62.6698,182.497,5451.620478,5,3,4,2,4,3,3,4,No
4224,0,3,33,41130.54,3,0,10.38794,13,1,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,2,14.91353,174.991,1806.936325,3,5,4,4,3,4,3,3,Yes
5322,0,0,62,46279.7,4,0,15.00104,16,1,0,0,2,0,0,1,1,1,1,1,0,1,1,1,1,0,44.64514,277.6375,4317.109974,4,4,4,2,3,3,4,4,No
829,0,1,56,78944.18,0,1,9.263624334,17,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,8.654535873,194.976769,1120.116258,5,3,4,4,5,4,3,3,Yes
6556,1,3,59,27782.86,1,0,10.75626,15,1,1,0,0,1,0,2,1,0,0,1,1,0,1,1,1,2,70.52836,210.1518,6473.783327,5,5,4,5,2,5,4,6,No
7805,0,3,47,11319.52,0,0,11.21614,10,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,47.11262,172.4404,4733.327376,3,2,1,3,4,3,4,3,Yes
765,1,1,22,11232.67,0,0,9.281101985,14,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,2,2.084118551,114.972827,364.1402725,4,3,3,4,5,5,3,3,No
1223,2,0,46,28733.56,4,1,11.57607855,10,0,1,0,0,0,1,2,1,1,0,0,0,0,1,0,1,2,5.396647294,137.468388,765.7044853,2,3,1,4,3,3,4,3,No
6231,0,2,76,27737.13,3,1,9.054841,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,45.16619,212.6415,4680.021701,3,3,3,2,5,3,3,4,No
7841,2,0,62,41287.82,4,1,9.953423,16,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,64.98884,152.4579,6116.781073,3,2,4,4,4,4,3,4,No
