,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
5434,0,1,63,35704.68,2,0,12.13201,13,1,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,3,60.18407,149.9707,5173.091219,5,4,5,4,4,4,5,4,No
1194,0,0,70,3223.21,3,0,12.07896744,13,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,2,9.764790968,169.992756,891.5354705,5,3,4,4,4,5,5,4,No
3913,1,3,40,3450.88,4,0,10.74957,10,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,1,1,4.86918,137.4978,760.8370835,4,5,5,1,5,2,2,3,No
3461,1,0,41,25560.03,3,0,9.696893,14,0,1,0,2,1,0,1,0,1,0,0,1,1,1,0,1,3,7.621099,194.9768,1006.779634,4,4,2,4,4,3,5,5,No
684,0,7,42,39087.76,3,1,8.361906963,14,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,3,10.8040205,212.641455,2129.856605,2,3,3,3,3,2,3,2,No
659,2,0,43,33731.69,3,1,10.73698075,14,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,6.735352382,92.455141,1066.193338,4,3,5,4,4,4,2,4,No
1232,1,3,58,49350.86,2,0,12.50834927,8,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,2,18.81607435,194.952509,2346.894471,4,4,4,4,3,3,3,3,Yes
7388,0,0,80,51063.25,3,1,8.46938,17,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,2,61.52081,174.9699,5777.025623,3,4,3,2,4,3,3,1,No
3096,0,1,62,50382.25,2,2,11.54934,11,0,1,0,1,1,0,2,1,0,0,0,1,1,0,0,1,2,11.34636,105.011,1002.360533,3,3,3,5,2,4,3,4,No
1833,0,1,67,24946.75,1,1,7.779697022,13,3,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,1.997833268,159.965008,461.4404406,3,4,5,3,5,2,3,3,No
7246,0,0,80,22064.33,1,0,8.457343,10,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,63.09122,182.4608,5405.598202,4,5,3,4,4,4,3,5,Yes
8222,2,1,18,20164.01,2,1,8.878152,14,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,2,55.44991,194.9744,5068.172778,3,3,4,5,2,4,3,4,No
347,2,8,79,26204.77,3,1,8.669204519,11,1,0,0,2,1,0,0,1,0,0,0,1,1,1,1,1,2,13.62832619,212.641455,2270.749222,5,5,4,2,3,5,6,4,Yes
8768,2,1,44,37078.58,1,1,12.77867,17,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,3,62.1578,149.9621,5467.127682,2,2,1,4,3,3,3,3,No
6905,2,4,87,25773.41,4,1,8.028689,13,2,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,2,65.26702,162.4526,5757.310478,3,3,3,4,4,2,3,2,No
6834,2,2,45,52440.69,2,0,8.196855,17,0,1,0,2,1,0,0,1,1,1,1,1,0,1,0,0,0,62.5664,187.4811,6135.698624,4,4,4,3,4,3,2,6,No
450,2,3,84,99519.26,1,0,12.87091514,15,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,2,21.71097206,169.992756,1916.832871,2,2,2,4,4,4,4,3,No
3170,2,2,23,21183.28,3,1,10.97771,9,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1.597599,204.9797,679.9648888,4,3,3,3,3,3,3,3,Yes
6605,1,2,55,15629.36,4,1,11.61045,16,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,68.16171,139.9568,5943.852289,4,3,4,4,3,3,3,3,No
3682,2,1,57,46339.12,3,0,5.257295,13,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,4.560311,162.4653,1097.407168,2,3,3,2,3,3,3,3,No
6487,2,1,62,7330.64,1,0,10.31702,6,2,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,0,55.09779,137.4684,4769.381102,2,3,4,5,3,5,4,2,No
1984,1,2,44,32992.62,3,0,10.28022332,12,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,6.12261616,119.95684,1263.008234,3,4,2,4,4,4,3,5,No
7535,2,4,35,18056.25,0,0,7.347479,5,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,61.16662,147.4601,5278.074401,4,4,3,3,3,4,4,2,No
1609,0,2,79,20802.1,1,0,10.84469394,11,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,2,11.21152941,262.610632,1503.937766,3,4,4,3,2,5,3,5,Yes
8878,0,5,43,49062.06,0,1,10.93632,7,2,0,0,2,1,1,0,1,1,1,0,0,0,0,0,1,0,65.28923,127.4783,6165.048793,4,3,5,2,6,2,3,3,No
5313,0,1,52,10827.73,4,1,6.262775,13,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,54.53026,144.9889,5308.935137,3,3,4,5,4,2,3,4,No
4301,2,0,25,49718.59,1,1,7.839192,12,2,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,25.46342,182.4608,2585.068343,4,3,2,4,4,3,4,2,No
7613,1,3,42,29552.09,3,1,8.484285,10,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,68.78714,92.45514,6246.215724,4,5,4,4,4,3,3,4,No
4998,0,2,75,20940.34,0,0,4.827944,12,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,1,1,6.482702,159.9794,1170.945568,3,3,2,3,3,4,4,3,No
3172,0,1,84,30511.85,1,1,6.796972,11,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,3,9.254257,197.4702,1574.095143,2,3,3,5,3,3,3,2,Yes
8295,2,6,26,31716.91,4,0,4.068396,16,0,1,0,2,0,0,0,1,1,0,0,1,1,1,0,0,2,54.73234,174.9768,5514.354742,4,5,4,2,4,5,4,3,No
8896,0,0,83,59357.03,4,1,11.37971,12,0,0,0,2,1,0,2,1,1,0,0,1,1,0,0,1,2,64.25764,137.5165,5396.225434,3,4,3,4,3,3,4,4,No
4418,2,6,21,36562.75,0,1,10.57671,8,1,1,0,2,1,1,2,1,0,0,0,1,1,0,1,1,2,7.332162,139.9979,1207.587701,4,5,3,4,5,2,3,2,No
5364,0,7,68,39975.25,3,0,11.55985,12,2,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,69.01301,217.484,6292.807402,4,5,3,4,3,3,4,2,No
3055,0,4,21,94836.83,2,0,11.47009,8,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,2,6.967998,257.6375,1900.983013,4,3,3,1,5,3,3,4,Yes
6146,2,3,62,24503.38,1,0,9.720852,10,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,2,49.40477,142.4526,4875.213905,4,4,3,4,4,5,6,4,No
6957,2,3,64,10173.37,0,1,11.99407,13,1,0,0,0,0,0,2,1,1,1,0,1,0,0,1,0,3,60.22003,162.5119,5450.60098,5,5,4,4,3,5,5,4,No
8290,2,1,32,19594.02,4,0,7.552433,13,2,1,0,1,0,1,2,1,1,0,1,0,0,1,1,1,2,57.81039,230.1344,5445.458747,2,3,2,4,4,4,3,3,No
3059,1,2,42,42517.98,3,1,10.58815,12,2,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,7.032433,245.1283,1818.572601,3,3,3,4,4,3,3,3,Yes
5264,1,1,40,8947.57,3,0,9.048196,14,2,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,3,60.55602,149.9707,5278.976104,3,4,4,4,3,3,4,3,No
6731,1,3,81,30474.66,0,1,6.484808,12,0,2,0,0,1,0,2,1,1,1,1,1,0,0,0,0,2,58.90864,150.0208,5221.7217,4,5,4,3,5,3,3,3,No
4664,2,4,51,11269.01,2,1,10.87695,13,0,0,1,2,0,1,2,0,0,1,0,1,0,0,1,1,0,2.284566,130.0064,704.9501482,3,3,2,3,2,5,4,3,No
85,0,0,33,10389.95,2,1,6.03993035,15,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6,No
5237,2,0,78,14281.24,3,1,13.14435,7,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,3,50.09799,219.9902,4582.182243,4,3,3,4,3,3,5,4,No
118,0,3,61,64222.21,1,1,5.785085772,16,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,7.120096363,127.442069,1290.737183,4,3,4,5,3,5,4,4,Yes
4065,1,0,73,57265.89,1,1,7.706587,14,2,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,2,20.84965,242.6326,2280.034122,3,3,3,5,2,4,3,4,Yes
422,2,2,51,14817.22,1,0,11.18732698,16,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,2,6.437878909,200.132293,1537.296207,4,5,5,3,4,4,4,2,Yes
8092,1,1,50,22476.44,3,1,15.34081,7,2,0,0,1,1,0,2,1,1,0,1,0,1,1,0,0,1,50.53589,172.4733,4580.300146,4,4,4,3,4,1,3,4,No
3800,2,2,67,46336.84,1,0,8.760632,14,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,3,6.483314,159.9875,684.120914,4,3,3,4,4,3,3,3,No
3088,1,3,64,6196.02,1,1,6.715052,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,20.72068,92.45514,2235.623805,3,3,3,5,2,4,3,4,No
3703,2,4,51,85352.98,3,1,11.02262,15,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,2,17.18815,255.1336,2692.714225,3,4,3,3,3,3,5,5,Yes
91,2,0,63,41656.53,4,0,15.19664016,9,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,3,13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4,Yes
8499,0,3,35,67999.95,4,1,13.47448,7,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,3,53.91114,149.9778,4810.280705,2,2,2,5,1,4,4,4,No
4388,2,4,42,10093.3,0,1,13.54602,12,3,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,20.88324,105.011,2027.833188,5,6,5,3,4,4,3,5,No
7229,1,1,44,23948.23,0,0,9.919418,12,2,0,0,2,0,1,1,1,0,1,1,1,0,1,0,1,2,54.38925,174.9755,4952.728891,3,3,3,3,5,2,3,2,No
1843,0,0,64,4109.01,1,1,10.40233023,12,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,3,11.46566243,120.004928,1549.605718,5,4,5,4,2,5,5,5,No
4551,0,4,58,55582.0,2,0,7.601803,12,3,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,3,11.42464,197.5169,1518.895794,4,3,4,3,3,4,3,4,Yes
5468,0,2,75,29161.86,3,1,12.09365,14,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,65.26303,252.624,5903.302417,2,3,2,3,4,2,3,2,No
670,2,4,31,32796.83,4,0,13.23925733,19,1,2,1,0,1,0,1,1,0,1,0,1,0,0,1,1,3,5.261502169,162.482694,932.1606254,2,4,3,4,4,4,3,2,Yes
499,0,0,86,24266.04,3,1,7.779828793,15,0,0,0,2,1,0,0,1,0,0,1,0,0,1,1,1,3,16.92163398,210.105118,2275.888923,1,2,2,4,3,2,3,2,Yes
5186,0,4,86,74321.03,2,0,11.1117,6,3,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,2,44.25204,182.4608,3965.422778,4,3,3,4,1,3,4,3,No
8895,0,1,29,40412.56,2,0,8.671001,14,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,3,67.15929,245.1283,6710.02165,3,3,3,2,4,3,4,2,No
6618,1,0,80,23283.91,4,1,10.15999,13,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,2,63.9916,232.6378,6215.478436,4,3,4,5,4,3,5,3,No
3054,0,1,58,61541.53,1,0,8.128102,18,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,2,3.678847,79.97886,301.5746797,2,2,3,3,3,4,3,3,No
921,2,0,75,28704.22,3,1,11.00710107,15,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,3,8.277054038,149.944668,1320.132625,3,2,4,3,3,5,3,4,No
560,2,1,68,25819.56,2,0,7.298432418,12,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,9.306233406,245.146969,1762.075547,3,2,2,4,3,2,4,2,Yes
3222,2,0,30,4631.67,4,0,6.383836,14,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,13.31462,232.624,2099.171991,2,2,4,2,4,2,3,3,Yes
5554,0,2,49,20541.47,0,0,9.699018,12,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,2,48.35393,132.466,4711.28064,4,4,2,3,5,2,4,3,No
8204,2,1,53,26921.3,4,0,9.831078,9,2,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,55.15311,222.6326,5553.582983,4,4,1,4,2,4,5,5,Yes
2242,2,0,66,24165.59,0,1,7.739305,7,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,3,1.366478,210.127,634.6246024,4,4,5,3,4,4,3,4,Yes
1689,2,0,42,20733.74,4,0,7.83125489,17,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,6.735271694,149.944668,1254.943448,3,3,3,3,3,4,2,2,Yes
813,1,0,52,6990.37,2,1,5.729464009,15,1,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,3,19.70266217,117.468591,2268.392356,4,5,3,4,3,5,4,5,Yes
7082,2,3,53,30788.59,0,1,8.280749,10,2,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,2,52.61618,217.484,4957.613255,5,4,5,4,4,3,4,4,No
1447,2,4,32,52197.12,2,0,9.624162233,13,1,0,0,0,1,0,2,1,1,0,1,1,0,0,1,1,1,4.843533662,182.490006,985.3722849,1,1,2,2,4,2,3,1,Yes
7578,0,2,32,78103.68,2,1,8.442682,9,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,2,68.83185,179.9476,6070.017248,4,4,4,4,2,4,4,4,No
4627,1,0,57,1055.12,0,1,10.39479,12,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,2,2.241794,124.9781,323.751566,4,5,3,4,3,2,5,4,Yes
4807,0,2,64,20954.8,3,0,12.6649,7,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,2,5.067354,220.1323,968.8818009,2,5,4,6,2,5,3,4,Yes
1987,0,0,19,9545.58,0,0,7.846044789,10,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,2,4.30774917,192.440432,811.9419618,4,4,4,2,3,4,3,4,Yes
7087,0,1,85,66002.64,0,0,10.46147,11,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,63.64488,197.4725,5991.256643,5,4,4,3,3,4,5,4,No
9471,2,2,52,16465.53,3,1,12.74004,7,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,3,64.04466,129.9483,5958.960225,3,3,3,4,2,2,4,4,No
2561,1,0,30,17104.77,4,1,8.738173,11,2,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,10.45497,139.9861,1307.834074,3,4,3,5,5,4,1,3,Yes
7035,0,2,86,31528.93,3,1,6.725939,16,1,1,0,1,1,0,2,1,0,0,0,0,0,0,1,1,1,56.94052,114.9658,4846.670476,3,5,3,3,5,3,4,3,No
5263,2,2,24,69309.0,4,0,4.327137,13,0,1,0,1,1,0,2,0,0,0,1,1,0,0,1,0,2,65.61044,149.9845,5857.190657,4,3,4,3,5,2,4,2,No
2871,0,3,30,45142.5,1,0,13.1997,14,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,9.430096,159.9349,1215.994181,3,3,3,2,5,2,2,3,No
1587,0,0,75,79322.08,0,1,8.127926454,10,0,0,1,0,0,0,2,1,1,1,1,0,1,0,1,0,0,5.105265612,184.993915,819.3644961,3,4,2,4,3,4,2,3,Yes
5389,0,2,63,10621.15,2,0,9.190279,13,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,55.50904,127.4586,4852.623608,5,5,4,3,5,3,4,2,No
3419,0,1,76,40493.15,3,2,13.33597,10,3,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,5.927239,174.9755,837.8796845,5,4,5,3,4,4,4,5,No
6958,2,0,77,81600.16,4,0,10.93666,10,1,0,0,2,0,1,0,1,0,1,0,1,0,1,1,0,0,42.31348,202.65,4405.254802,4,4,3,3,3,4,3,3,No
3662,1,0,36,50827.4,2,0,5.274854,16,2,1,0,2,0,0,2,1,1,1,0,0,1,0,0,1,0,7.863565,127.5112,837.2841389,1,2,2,5,3,3,4,4,No
9872,2,1,60,38120.33,3,1,8.383148,11,0,1,0,1,0,0,2,1,0,0,0,0,0,1,1,0,1,58.8745,175.1331,5321.961115,2,2,3,4,1,3,3,4,No
6774,0,4,24,19121.4,4,1,11.06216,14,1,1,1,1,1,1,2,1,1,1,0,1,0,1,0,1,0,71.73682,152.509,6557.092992,3,4,4,3,4,4,4,4,No
5310,2,0,33,54873.78,0,1,8.39826,12,0,1,0,2,1,0,0,1,0,0,1,0,0,1,1,1,3,64.13229,210.1051,6317.996068,5,3,5,2,5,3,4,3,No
266,2,0,24,48314.4,3,1,11.2714618,14,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,11.45675389,287.642733,1779.309609,2,2,2,5,4,4,4,3,Yes
986,2,2,24,13622.77,2,1,15.54783164,13,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2.506101194,255.155493,1084.371719,5,6,5,3,2,3,4,5,Yes
9535,1,0,58,58106.82,3,1,11.56473,16,0,0,0,0,1,0,2,1,0,1,1,1,1,0,0,0,0,67.95509,130.0244,5878.395212,4,4,2,4,4,4,5,5,No
9941,1,1,80,5821.59,1,1,14.6783,9,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,71.67689,92.48802,5887.667168,2,3,3,3,5,2,1,2,No
